2024-08-29 21:10:02
# 报告由黑鸟播放器制作

= 有效源 =

wuxiyih央视高清,#genre#
CCTV1HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/index.m3u8
CCTV2HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/index.m3u8
CCTV3HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/index.m3u8
CCTV4HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/index.m3u8
CCTV5HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/index.m3u8
CCTV5+HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/index.m3u8
CCTV6HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/index.m3u8
CCTV7HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/index.m3u8
CCTV8HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/index.m3u8
CCTV9HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/index.m3u8
CCTV10HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/index.m3u8
CCTV11HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/index.m3u8
CCTV12HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/index.m3u8
CCTV13HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/index.m3u8
CCTV14HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/index.m3u8
CCTV15HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/index.m3u8
CCTV16HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/index.m3u8
CCTV17HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/index.m3u8
wuxiyih卫视高清,#genre#
北京卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010143/index.m3u8
重庆卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010053/index.m3u8
四川卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010115/index.m3u8
东方卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010054/index.m3u8
东方卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010219/index.m3u8
东南卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010096/index.m3u8
广东卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010055/index.m3u8
广西卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010099/index.m3u8
深圳卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010068/index.m3u8
湖南卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010058/index.m3u8
湖南卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010224/index.m3u8
湖北卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010057/index.m3u8
湖北卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010223/index.m3u8
河北卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010101/index.m3u8
江苏卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010059/index.m3u8
江苏卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010225/index.m3u8
江西卫视HD[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010060/index.m3u8
