测,#genre#
CCTV1,
CCTV2,
CCTV3,
CCTV4,
CCTV5,
CCTV6,
CCTV7,
CCTV8,
CCTV9,
CCTV10,
CCTV11,
CCTV12,
CCTV13,
CCTV14,
CCTV15,
CCTV16,
CCTV17,
CCTV5+,

CCTV1,http://59.62.8.250:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://59.62.8.250:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://59.62.8.250:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.62.8.250:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://59.62.8.250:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://59.62.8.250:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://59.62.8.250:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://59.62.8.250:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://59.62.8.250:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://59.62.8.250:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://59.62.8.250:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://59.62.8.250:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://59.62.8.250:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://59.62.8.250:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV6,http://117.175.185.226:4088/rtp/239.11.0.102:5140
CCTV7,http://117.175.185.226:4088/rtp/239.11.0.110:5140
CCTV8,http://117.175.185.226:4088/rtp/239.11.0.103:5140
CCTV9,http://117.175.185.226:4088/rtp/239.11.0.111:5140
CCTV10,http://117.175.185.226:4088/rtp/239.11.0.112:5140
CCTV11,http://117.175.185.226:4088/rtp/239.11.0.22:5140
CCTV12,http://117.175.185.226:4088/rtp/239.11.0.113:5140
CCTV13,http://117.175.185.226:4088/rtp/239.11.0.24:5140
CCTV14,http://117.175.185.226:4088/rtp/239.11.0.114:5140
CCTV15,http://117.175.185.226:4088/rtp/239.11.0.26:5140
CCTV16,http://117.175.185.226:4088/rtp/239.11.0.67:5140
CCTV17,http://117.175.185.226:4088/rtp/239.11.0.107:5140

CCTV1,http://58.48.37.158:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://123.160.173.108:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0?$初步可以
CCTV4,http://123.160.173.108:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0?$初步可以


CCTV1,http://117.175.185.226:4088/rtp/239.11.0.65:5140
CCTV2,http://117.175.185.226:4088/rtp/239.11.0.108:5140
CCTV3,http://117.175.185.226:4088/rtp/239.11.0.101:5140
CCTV4,http://117.175.185.226:4088/rtp/239.11.0.109:5140
CCTV5,http://117.175.185.226:4088/rtp/239.11.0.100:5140
CCTV5+,http://117.175.185.226:4088/rtp/239.11.0.241:5140
