央视,#genre#
CCTV1,http://106.115.25.148:9999/tsfile/live/1000_1.m3u8
CCTV2,http://106.115.25.148:9999/tsfile/live/1001_1.m3u8
CCTV3,http://106.115.25.148:9999/tsfile/live/1002_1.m3u8
CCTV4,http://106.115.25.148:9999/tsfile/live/1003_1.m3u8
CCTV5,http://106.115.25.148:9999/tsfile/live/1004_1.m3u8
CCTV6,http://106.115.25.148:9999/tsfile/live/0006_1.m3u8
CCTV7,http://106.115.25.148:9999/tsfile/live/0007_1.m3u8
CCTV8,http://106.115.25.148:9999/tsfile/live/0008_1.m3u8
CCTV9,http://106.115.25.148:9999/tsfile/live/0009_1.m3u8
CCTV10,http://106.115.25.148:9999/tsfile/live/0010_1.m3u8
CCTV11,http://106.115.25.148:9999/tsfile/live/0011_1.m3u8
CCTV12,http://106.115.25.148:9999/tsfile/live/0012_1.m3u8
CCTV13,http://106.115.25.148:9999/tsfile/live/0013_1.m3u8
CCTV14,http://106.115.25.148:9999/tsfile/live/0014_1.m3u8
CCTV15,http://106.115.25.148:9999/tsfile/live/0015_1.m3u8

CCTV1,http://218.20.55.28:8888/rtp/239.77.0.129:5146
CCTV1,http://218.20.55.28:8888/rtp/239.77.0.86:5146
CCTV1,http://218.20.55.28:8888/rtp/239.77.0.119:5146
CCTV1,http://218.20.55.28:8888/rtp/239.77.1.144:5146
CCTV1,http://218.20.55.28:8888/rtp/239.77.1.17:5146
CCTV2,http://218.20.55.28:8888/rtp/239.253.43.17:5146
CCTV2,http://218.20.55.28:8888/rtp/239.77.1.158:5146
CCTV2,http://218.20.55.28:8888/rtp/239.77.0.137:5146
CCTV3,http://218.20.55.28:8888/rtp/239.77.0.169:5146
CCTV4,http://218.20.55.28:8888/rtp/239.253.43.120:5146
CCTV4,http://218.20.55.28:8888/rtp/239.253.43.121:5146
CCTV4,http://218.20.55.28:8888/rtp/239.77.0.78:5146
CCTV4,http://218.20.55.28:8888/rtp/239.77.1.163:5146
CCTV4,http://218.20.55.28:8888/rtp/239.77.1.166:5146
CCTV5+,http://218.20.55.28:8888/rtp/239.77.0.87:5146
CCTV5+,http://218.20.55.28:8888/rtp/239.77.1.31:5146
CCTV5,http://218.20.55.28:8888/rtp/239.77.0.177:5146
CCTV5,http://218.20.55.28:8888/rtp/239.77.0.170:5146
CCTV6,http://218.20.55.28:8888/rtp/239.77.0.178:5146
CCTV6,http://218.20.55.28:8888/rtp/239.77.0.171:5146
CCTV7,http://218.20.55.28:8888/rtp/239.77.1.167:5146
CCTV7,http://218.20.55.28:8888/rtp/239.77.1.159:5146
CCTV7,http://218.20.55.28:8888/rtp/239.77.0.138:5146
CCTV8,http://218.20.55.28:8888/rtp/239.77.0.181:5146
CCTV8,http://218.20.55.28:8888/rtp/239.77.0.172:5146
CCTV9,http://218.20.55.28:8888/rtp/239.77.1.168:5146
CCTV9,http://218.20.55.28:8888/rtp/239.77.1.160:5146
CCTV9,http://218.20.55.28:8888/rtp/239.77.0.135:5146
CCTV10,http://218.20.55.28:8888/rtp/239.77.1.169:5146
CCTV10,http://218.20.55.28:8888/rtp/239.77.1.113:5146
CCTV10,http://218.20.55.28:8888/rtp/239.77.0.134:5146
CCTV11,http://218.20.55.28:8888/rtp/239.77.1.238:5146
CCTV12,http://218.20.55.28:8888/rtp/239.77.1.10:5146
CCTV12,http://218.20.55.28:8888/rtp/239.77.1.170:5146
CCTV12,http://218.20.55.28:8888/rtp/239.77.1.109:5146
CCTV12,http://218.20.55.28:8888/rtp/239.77.0.136:5146
CCTV13,http://218.20.55.28:8888/rtp/239.253.43.196:5146
CCTV13,http://218.20.55.28:8888/rtp/239.77.0.188:5146
CCTV14,http://218.20.55.28:8888/rtp/239.77.1.161:5146
CCTV14,http://218.20.55.28:8888/rtp/239.77.0.133:5146
CCTV15,http://218.20.55.28:8888/rtp/239.77.1.239:5146
CCTV16,http://218.20.55.28:8888/rtp/239.77.0.165:5146
CCTV16,http://218.20.55.28:8888/rtp/239.77.1.76:5146
CCTV17,http://218.20.55.28:8888/rtp/239.77.0.198:5146
CCTV17,http://218.20.55.28:8888/rtp/239.77.1.121:5146


卫视,#genre#
东方卫视,http://106.115.25.148:9999/tsfile/live/1016_1.m3u8
浙江卫视,http://106.115.25.148:9999/tsfile/live/1017_1.m3u8
河北卫视,http://106.115.25.148:9999/tsfile/live/0117_1.m3u8
北京卫视,http://106.115.25.148:9999/tsfile/live/1011_1.m3u8
湖南卫视,http://106.115.25.148:9999/tsfile/live/1012_1.m3u8
黑龙江卫视,http://106.115.25.148:9999/tsfile/live/1013_1.m3u8
深圳卫视,http://106.115.25.148:9999/tsfile/live/1014_1.m3u8
江苏卫视,http://106.115.25.148:9999/tsfile/live/1015_1.m3u8
天津卫视,http://106.115.25.148:9999/tsfile/live/1018_1.m3u8
安徽卫视,http://106.115.25.148:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://106.115.25.148:9999/tsfile/live/0121_1.m3u8
山东卫视,http://106.115.25.148:9999/tsfile/live/0131_1.m3u8
云南卫视,http://106.115.25.148:9999/tsfile/live/0119_1.m3u8
河南卫视,http://106.115.25.148:9999/tsfile/live/0139_1.m3u8
四川卫视,http://106.115.25.148:9999/tsfile/live/0123_1.m3u8
江西卫视,http://106.115.25.148:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://106.115.25.148:9999/tsfile/live/0120_1.m3u8
湖北卫视,http://106.115.25.148:9999/tsfile/live/0132_1.m3u8
重庆卫视,http://106.115.25.148:9999/tsfile/live/0142_1.m3u8
广东卫视,http://106.115.25.148:9999/tsfile/live/0125_1.m3u8
广西卫视,http://106.115.25.148:9999/tsfile/live/0113_1.m3u8
吉林卫视,http://106.115.25.148:9999/tsfile/live/0116_1.m3u8
陕西卫视,http://106.115.25.148:9999/tsfile/live/0136_1.m3u8
山西卫视,http://106.115.25.148:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://106.115.25.148:9999/tsfile/live/0109_1.m3u8
青海卫视,http://106.115.25.148:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://106.115.25.148:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://106.115.25.148:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://106.115.25.148:9999/tsfile/live/0110_1.m3u8
甘肃卫视,http://106.115.25.148:9999/tsfile/live/0141_1.m3u8
卡酷动画,http://106.115.25.148:9999/tsfile/live/1019_1.m3u8
金鹰卡通,http://106.115.25.148:9999/tsfile/live/1020_1.m3u8


